first,avgTail,first,avgTail
0.0023386730026686564,0.003319273050883015,0.0020457120008359198,0.002680472649704565
0.0023019100008241367,0.003352899373773658,0.001990875000046799,0.0026594561213303843
0.0023180089992820285,0.0034085090587073603,0.001993650999793317,0.002646795199606638
0.0023190720021375455,0.0033400397847397224,0.0019820000015897676,0.0026473900489244265
0.002323327000340214,0.003348777880629312,0.0020007380007882603,0.0026682806771039327
0.00230334800289711,0.003396679958908517,0.0020243360013409983,0.002685333375735646
0.0023764580000715796,0.003373938802348752,0.002000521999434568,0.002667738377692318
0.002354594998905668,0.0033715629980408672,0.0020006169979751576,0.002697202362035118
0.002427085000817897,0.0033128189295470517,0.0020086110016563907,0.002683546313105963
0.0022761300024285447,0.0033588883542099083,0.0020055220011272468,0.0027091368649725814
0.0025249499994970392,0.0034393237338524625,0.0019689729997480754,0.002649042679060368
0.002306745998794213,0.0032714316007807515,0.002035251000052085,0.0026603352113501824
0.0024616569971840363,0.00342753923091808,0.0019796030028373934,0.0026449534090036146
0.0024085299992293585,0.0033269198336643635,0.001983735000976594,0.0026228276731933577
0.002456866997817997,0.0032806615890378504,0.0019931800015910994,0.0026609111095891643
0.002397139000095194,0.0031614642152630514,0.00203631300246343,0.002655743009781801
0.0022944800002733245,0.0035000250508775595,0.0020398929991642945,0.0027145699960852946
0.0023451269953511655,0.0035568286399289815,0.001998460997128859,0.002646261485326655
0.0023336469967034645,0.003298781763210003,0.001998968997213524,0.002679841346379667
0.002410148998023942,0.0021339092994156184,0.0020187120026093908,0.0026822011428617475
0.0025345859976368956,0.003289661563593104,0.0020470989984460175,0.002736004424659483
0.002491713996278122,0.002145620138939026,0.002024395995249506,0.0026550208630149413
0.0023918930019135587,0.0028231367729971034,0.0020240640005795285,0.0026512985303291754
0.0023252979954122566,0.0033825464520509784,0.0019595760022639297,0.0026504719256289686
0.0022655700013274327,0.003349014360080277,0.0020344040021882392,0.002694547798434102
0.0023534680003649555,0.0035162800215328216,0.0020379069974296726,0.0027061978316975897
0.0024670210041222163,0.00337334664578314,0.001998077001189813,0.002649773414874492
0.002344950997212436,0.0033659953405019423,0.001991978999285493,0.0026429451017672655
0.0022728249969077297,0.0033702936712397286,0.0020175700046820566,0.002686236113507607
0.0024275909963762388,0.0034718896536185696,0.0019782560048042797,0.002651936228957402
0.002286373004608322,0.0034096341095838575,0.0019508800032781437,0.0026924758825764158
0.002309604002221022,0.003226795264185655,0.0020410929937497713,0.0026867732837464278
