newData(relu_act),noData(relu_act),newData(leaky_relu_act),noData(leaky_relu_act),newData(tanh_act),noData(tanh_act),newData(sigmoid_act),noData(sigmoid_act),newData(scalar_mult),noData(scalar_mult),newData(small_dense),noData(small_dense),newData(big_dense),noData(big_dense),newData(simple_conv2d),noData(simple_conv2d),newData(strided_conv2d),noData(strided_conv2d),newData(dilated_conv2d),noData(dilated_conv2d),newData(small_conv2d),noData(small_conv2d),newData(big_conv2d),noData(big_conv2d),newData(many_conv2d),noData(many_conv2d),newData(few_conv2d),noData(few_conv2d)
2.1380001271609217e-06,8.859999525157036e-07,2.7119999685965013e-06,7.959999948070617e-07,2.2990000161371427e-06,9.060001957550412e-07,4.151999974055798e-06,2.584999947430333e-06,2.2619999526796164e-06,8.310000794153893e-07,2.2900001113157487e-06,9.709999631013488e-07,1.0535000001254957e-05,8.46800003273529e-06,0.001054242999998678,0.000935386000037397,0.00012678300004154153,7.088699999258097e-05,0.0012295690000883042,0.001158067000005758,0.001052001000061864,0.0008192710001821979,0.003514224999889848,0.00247545899992474,0.0062012430000777385,0.0045276949999788485,0.0015538709999418643,0.0009676469999249093
2.1529999685299117e-06,8.170000000973232e-07,2.7270000373391667e-06,8.409999736613827e-07,2.2890001218911493e-06,8.849999630911043e-07,4.285999921194161e-06,2.5540000478940783e-06,2.2599999738304177e-06,8.189999789465219e-07,2.344999984416063e-06,9.410000529896934e-07,1.0558999974819017e-05,8.527000090907677e-06,0.0011804240000401478,0.000811807999980374,0.00017915200010065746,7.195600005616143e-05,0.0012379290001263143,0.0011511440000049333,0.0011642860001757072,0.0008116980000067997,0.007511704000080499,0.0025622650000514113,0.005444362999924124,0.0041528909998760355,0.00250475899997582,0.0009620969999559748
2.091999931508326e-06,8.870001693139784e-07,2.6640000214683823e-06,7.999999525054591e-07,2.3009999949863413e-06,8.849999630911043e-07,4.176999937044457e-06,2.579000010882737e-06,2.2649999209534144e-06,7.979999736562604e-07,2.3860000055719865e-06,9.389998467668192e-07,1.0594000059427344e-05,8.379000064451247e-06,0.0012147410000125092,0.001347815999906743,0.00016450400016765343,7.339200010392233e-05,0.0013755509999100468,0.0011534630000369361,0.0013426020000224526,0.0008112059999803023,0.006084312000211867,0.002888025999936872,0.00571506699998281,0.004272188000186361,0.00135533600018789,0.0010091310000461817
2.2500000795844244e-06,7.940000159578631e-07,2.6130001060664654e-06,8.200001957447967e-07,2.3039999632601393e-06,8.83999973666505e-07,4.199999921183917e-06,2.609999910418992e-06,2.1979999473842327e-06,7.979999736562604e-07,2.3370000690192683e-06,9.269999736716272e-07,1.0611000107019208e-05,8.302999958686996e-06,0.0014914989999397221,0.0010882540000238805,0.00014392299999599345,7.2849000162023e-05,0.0013297200000579323,0.0012471649999952206,0.0008971110000857152,0.0008530229999905714,0.002844377000201348,0.0031982840000637225,0.006229737000012392,0.004462331000013364,0.0011703599998327263,0.001007370000024821
2.1440000637085177e-06,8.470001375826541e-07,2.5940000796254026e-06,8.27000121716992e-07,1.4808000059929327e-05,8.86999941940303e-07,3.9719998312648386e-06,2.5780000214581378e-06,2.26500014832709e-06,8.130000423989259e-07,2.3689999579801224e-06,9.190000582748326e-07,1.0718000112319714e-05,8.317000038005062e-06,0.0014960299999984272,0.001414488000136771,0.00010842800020327559,7.14249999873573e-05,0.0013308160000633507,0.00115942599995833,0.0009081639998385072,0.0009238470001946553,0.002471613000125217,0.0024399470000844303,0.005599454000048354,0.004424222999887206,0.0013810989999001322,0.001003095999976722
2.1099999685247894e-06,8.130000423989259e-07,2.6300001536583295e-06,7.950000053824624e-07,2.215999984400696e-06,8.819999948173063e-07,4.027999921163428e-06,2.5949998416763265e-06,2.2340000214171596e-06,8.160000106727239e-07,2.367999968555523e-06,9.319999207946239e-07,1.0708999980124645e-05,8.403000038015307e-06,0.0018831319998753315,0.001312288000008266,0.00017707000006339513,7.344000005105045e-05,0.001316744999940056,0.0011589050000111456,0.0010229080000954127,0.0012585020001552039,0.005162389999895822,0.002374017999954958,0.005637653000121645,0.004356164000000717,0.001043498999933945,0.0008864169999469595
2.10899997910019e-06,7.549999736511381e-07,2.612000116641866e-06,8.189999789465219e-07,2.232000042567961e-06,8.950000847107731e-07,4.243999910613638e-06,2.5919998734025285e-06,2.1979999473842327e-06,8.38999994812184e-07,2.3830000372981885e-06,9.76000137598021e-07,1.053900018632703e-05,8.449000006294227e-06,0.001633099999935439,0.0008722190000298724,0.00013539499991566117,7.322700002987403e-05,0.0012452659998416493,0.001216465999959837,0.0018655690000741743,0.0010238890001801337,0.003338180999890028,0.0024736230000144133,0.005894963999935499,0.004504099000087081,0.0013659789999564964,0.000831352999966839
2.2540000372828217e-06,8.83999973666505e-07,2.700999857552233e-06,8.219999472203199e-07,2.213000016126898e-06,9.220000265486306e-07,4.230000058669248e-06,2.5689998892630683e-06,2.26500014832709e-06,8.489998890581774e-07,2.3550001060357317e-06,9.929999578162096e-07,1.0549000080573023e-05,8.586999911130988e-06,0.0016889910000372765,0.001051549000067098,0.00010763000000224565,7.13060001089616e-05,0.0012424899998677574,0.0012118879999434284,0.002791945999888412,0.0008508079999955953,0.004443995000201539,0.0023379659999136493,0.0054893439998977556,0.0052064059998429,0.0010343839999222837,0.0008423750000474683
2.080000058413134e-06,7.559999630757375e-07,2.679000090211048e-06,8.179999895219225e-07,2.220999931523693e-06,9.010000212583691e-07,4.066999963470153e-06,2.5550000373186776e-06,2.215999984400696e-06,8.160000106727239e-07,2.3069999315339373e-06,9.159998626273591e-07,1.0648999932527659e-05,8.438000122623635e-06,0.0011286269998436183,0.0008629680000922235,9.927699989020766e-05,0.0003985549999470095,0.0012430829999630078,0.001166754999985642,0.0020713070000510925,0.0015236960000493127,0.003583247000051415,0.00315234300001066,0.00547049000010702,0.004235020000123768,0.0012102380001124402,0.001017435000221667
2.1400001060101204e-06,8.720001005713129e-07,2.626999958010856e-06,8.179999895219225e-07,2.18700006371364e-06,8.950000847107731e-07,4.175999947619857e-06,2.548999873397406e-06,2.2140000055514975e-06,8.320000688399887e-07,2.3099998998077353e-06,9.570001111569582e-07,1.057600002241088e-05,8.58399994285719e-06,0.001129562999949485,0.0008440519998202944,9.236799996870104e-05,7.968799991431297e-05,0.001232544999993479,0.0011877350000304432,0.0017974470001718146,0.0015128229999845644,0.003493409999919095,0.003101179000168486,0.005633710999973118,0.0044005760000800365,0.001620828000113761,0.0009926899999754824
