relu_act,leaky_relu_act,tanh_act,sigmoid_act,scalar_mult,small_dense,big_dense,simple_conv2d,strided_conv2d,dilated_conv2d,small_conv2d,big_conv2d,many_conv2d,few_conv2d
4.1539999529049965e-06,3.783000011026161e-06,3.0399999104702147e-06,3.308000032120617e-06,3.3759997677407227e-06,3.417000016270322e-06,3.950000063923653e-06,0.0005744500001583219,9.384700001646706e-05,9.416600005351938e-05,8.283599981950829e-05,0.0009318400000211113,0.0015075569999680738,0.00010752399998636974
1.6559999949095072e-06,2.0339998627605382e-06,1.4429999737330945e-06,1.5810001059435308e-06,1.618999931451981e-06,1.5820000953681301e-06,2.3779998628015164e-06,5.4077999948276556e-05,-2.7966000061496743e-05,7.60709999667597e-05,7.692899998801295e-05,-0.0005993610000132321,0.0006098750000091968,0.0002530940000724513
1.5059997622302035e-06,1.7859999843494734e-06,1.3100000160193304e-06,1.4889999420120148e-06,1.3950000266049756e-06,1.3940000371803762e-06,2.300000005561742e-06,0.001145025999903737,2.633299982335302e-05,5.2497999831757625e-05,-0.00010203300030298124,-3.013999980794324e-05,0.0012697330000719376,2.746700010902714e-05
1.2560001323436154e-06,2.534000032028416e-06,1.3080000371701317e-06,1.3809999472869094e-06,1.3300000318849925e-06,1.3820001640851842e-06,2.2589999844058184e-06,0.0009814529998948274,3.0238999897846952e-05,5.7691999927556026e-05,-2.336300008209946e-05,0.0002702429999317246,0.0019220510000650393,0.00021633799974551948
1.3639998996950453e-06,1.4228000054572476e-05,1.4289998944150284e-06,1.4239999472920317e-06,1.2670002433878835e-06,1.377999751639436e-06,2.3490001694881357e-06,-0.0006130460001259053,4.899800001112453e-05,4.466999985197617e-05,4.760100000567036e-05,0.001427801000090767,0.000695652000104019,0.00012683800014201552
1.2630000583158107e-06,1.746999714669073e-06,1.2929999684274662e-06,1.3070000477455324e-06,1.38699965646083e-06,1.3950000266049756e-06,2.125000037267455e-06,2.7211000087845605e-05,2.0220000124027138e-05,0.0001588180002727313,3.82710002213571e-05,0.0009662879999723373,0.0011758620000819064,2.6324000145905302e-05
1.3850001323589822e-06,1.6669998785801e-06,1.3010001111979363e-06,1.4099998679739656e-06,1.3100002433930058e-06,1.3579999631474493e-06,2.139999878636445e-06,0.0001489060002768383,2.8870999813079834e-05,5.7330999879923183e-05,-7.55189998926653e-05,-0.00027758099986385787,0.0006444339999234217,3.684299986161932e-05
1.4499998997052899e-06,1.6019998838601168e-06,1.2090001746400958e-06,1.3889998626837041e-06,1.2929997410537908e-06,1.3859998944099061e-06,2.2480001007352257e-06,-0.0035069069999735802,2.0589000087056775e-05,3.6912000041411375e-05,0.0005069689998435933,0.0016142580000177986,0.001164313000117545,2.4732999918342102e-05
1.5840000742173288e-06,1.6709998362784972e-06,1.2330001482041553e-06,1.3829999261361081e-06,1.2750001587846782e-06,1.3460000900522573e-06,2.061000031972071e-06,-1.0393999900770723e-05,1.7881999838209595e-05,0.00012139800037402892,9.689000080470578e-06,0.00030623299994658737,0.001534006000156296,2.3521999992226483e-05
1.3470000794768566e-06,1.5790001270943321e-06,1.2939997304783901e-06,1.3019998732488602e-06,1.3050000688963337e-06,1.3809999472869094e-06,2.1640003069478553e-06,-0.00012604399989868398,1.6041999970184406e-05,0.00010593499996502942,9.580500000083703e-05,-7.845599998290709e-05,1.3489000139088603e-05,-0.0002842470000814501
1.3920000583311776e-06,1.663999910306302e-06,1.3469998521031812e-06,1.359999941996648e-06,1.2620002962648869e-06,1.4600000213249587e-06,2.1509997623070376e-06,0.002502587999970274,1.9534999864845304e-05,-3.5379998735152185e-06,-7.498699983443657e-05,6.356999983836431e-05,0.0011250560000917176,0.0002541920002840925
1.2820000847568735e-06,1.4939998891350115e-06,1.2569998943945393e-06,1.351000037175254e-06,1.2789998891094e-06,1.3250000847619958e-06,2.2670001271762885e-06,-1.5312000186895602e-05,1.4780000583414221e-06,-8.191999995688093e-05,7.639199998266122e-05,-0.0002109479999035102,0.0013173819997973624,-0.00027194399990548845
1.3140002010914031e-06,1.8300002011528704e-06,1.4980000742070843e-06,1.3780002063867869e-06,1.374000021314714e-06,1.3860001217835816e-06,2.1949999791104347e-06,0.0008203889999549574,1.7830999922807678e-05,0.0001974039998913213,0.00014427299993258202,0.002457573000128832,0.0010463999999501539,0.00018478200013305468
1.4039999314263696e-06,3.933999778382713e-06,1.2650000371650094e-06,1.3859998944099061e-06,1.374000021314714e-06,1.368000084767118e-06,2.1860000742890406e-06,0.0007834999998976855,6.170000688143773e-07,2.364499982832058e-05,4.343300020082097e-05,0.0006632680001530389,0.0016469490001327358,2.1357999912652303e-05
1.3890000900573796e-06,1.8709999949351186e-06,1.2900000001536682e-06,1.34200013235386e-06,1.3589999525720486e-06,1.371000053040916e-06,2.153999957954511e-06,8.460100002594118e-05,2.0415000108187087e-05,6.99790000453504e-05,-4.1076999877986964e-05,-1.9921999864891404e-05,0.0009783949999473407,-0.00014189299986355763
1.3819999367115088e-06,1.5630000689270673e-06,1.3300000318849925e-06,1.3750000107393134e-06,1.3639998996950453e-06,1.4009999631525716e-06,2.210999809904024e-06,0.0001299030000154744,2.029499978561944e-05,1.3991000059832004e-05,9.557800012771622e-05,-0.0002684429998680571,0.0013189109997711057,-8.265700012088928e-05
1.089000079446123e-06,1.6569999843341066e-06,1.2959999367012642e-06,1.3610001587949228e-06,1.3449998732539825e-06,1.3330000001587905e-06,2.2900001113157487e-06,0.0006036370000401803,2.4190999965867377e-05,4.714100009550748e-05,0.00028300100007072615,1.6018999986044946e-05,0.0014884560000609781,1.4813000007052324e-05
