big_dense
0.0011103349997938494
1.86910001502838e-05
1.1528000413818518e-05
1.0762000329123111e-05
1.053000005413196e-05
1.0629999906086596e-05
1.0694000138755655e-05
1.0578999990684679e-05
1.0587999895506073e-05
1.0616000054142205e-05
1.035900004353607e-05
1.0488000043551438e-05
1.0402000043541193e-05
1.0474999726284295e-05
1.055999973686994e-05
1.0477999694558093e-05
1.0458999895490706e-05
1.0404000022390392e-05
1.0534000011830358e-05
1.029799977914081e-05
1.0550999832048547e-05
1.0428000223328127e-05
1.0363999990659067e-05
1.0348000159865478e-05
1.0458999895490706e-05
1.0511999789741822e-05
1.0396999641670845e-05
1.0534000011830358e-05
1.0466000276210252e-05
1.0524000117584364e-05
1.0427000233903527e-05
1.060799968399806e-05
4.0298999920196366e-05
1.3531000149669126e-05
1.0185000064666383e-05
1.0342000223317882e-05
1.0212999768555164e-05
9.946999853127636e-06
9.98799987428356e-06
1.0263000149279833e-05
9.969000075216172e-06
1.015899988487945e-05
9.855999905994395e-06
9.850999958871398e-06
9.914999736793106e-06
9.885999588732375e-06
9.80200002231868e-06
9.958999726222828e-06
1.0088000180985546e-05
9.931000022334047e-06
1.0046999705082271e-05
9.97200004348997e-06
1.0053000096377218e-05
9.918000159814255e-06
1.0040000233857427e-05
9.913999747368507e-06
1.0148999990633456e-05
9.931000022334047e-06
9.981999937735964e-06
1.015799989545485e-05
9.917999705066904e-06
1.009600009638234e-05
9.93999992715544e-06
1.001800001176889e-05
4.509799964580452e-05
1.8934000308945542e-05
1.2348999916866887e-05
1.1592999726417474e-05
1.113600001190207e-05
1.1083000117650954e-05
1.1051000001316424e-05
1.084099994841381e-05
1.6201999642362352e-05
1.146099975812831e-05
1.0784000096464297e-05
1.1244999768678099e-05
1.0769000255095307e-05
1.079499998013489e-05
1.059299984262907e-05
1.1248999726376496e-05
1.0691999705159105e-05
1.0548999853199348e-05
1.0643000223353738e-05
1.0707000001275446e-05
1.059099986377987e-05
1.0956000096484786e-05
1.0487000054126838e-05
1.0683000255085062e-05
1.0624999958963599e-05
1.0509999810892623e-05
1.0348000159865478e-05
1.0457999906066107e-05
1.0443000064697117e-05
1.0325999937776942e-05
1.0432999715703772e-05
1.0567000117589487e-05
