min(big_dense),max(big_dense),avg(big_dense),std(big_dense)
1.029799977914081e-05,0.0011103349997938494,4.515712498687208e-05,0.0001913169633145315
9.80200002231868e-06,4.0298999920196366e-05,1.1072499958686421e-05,5.286167880262812e-06
1.0325999937776942e-05,4.509799964580452e-05,1.2318781202225182e-05,6.132172703006088e-06
