min(scalar_mult),max(scalar_mult),avg(scalar_mult),std(scalar_mult)
2.1219998416199815e-06,6.929599976501777e-05,4.575218753188892e-06,1.170224335268846e-05
2.145000053133117e-06,9.891999980027322e-06,2.6298749986608527e-06,1.4719758603487772e-06
2.10899997910019e-06,9.980999948311364e-06,2.446156273094857e-06,1.3663398350524198e-06
