time,time,time
4.964099935023114e-05,5.0783999540726654e-05,5.2006999794684816e-05
4.927200006932253e-05,5.113299994263798e-05,5.1621000238810666e-05
4.943799922330072e-05,5.0428000577085186e-05,5.201499971008161e-05
4.937699941365281e-05,5.073400006949669e-05,5.1514000006136484e-05
4.973600061930483e-05,5.077199966763146e-05,5.1713000175368506e-05
4.9073999434767757e-05,5.098599922348512e-05,5.187999977351865e-05
4.9528000090504065e-05,5.071699979453115e-05,5.149500066181645e-05
4.9901000238605775e-05,5.101300030219136e-05,5.1793999773508403e-05
5.022000004828442e-05,5.0257999646419194e-05,5.2209999921615236e-05
5.005799994250992e-05,4.954599990014685e-05,5.181699998502154e-05
5.012200017517898e-05,4.992100002709776e-05,5.204600074648624e-05
4.992499998479616e-05,4.984400038665626e-05,5.2086999858147465e-05
5.013399913877947e-05,4.988199998479104e-05,5.177000002731802e-05
5.004299964639358e-05,8.091099971352378e-05,5.2444000175455585e-05
5.0501999794505537e-05,5.026399958296679e-05,5.2318999223643914e-05
5.0238999392604455e-05,4.953999996359926e-05,5.198400049266638e-05
4.965700009051943e-05,4.973300019628368e-05,5.185800000617746e-05
4.946300032315776e-05,4.953600000590086e-05,5.197999962547328e-05
4.999899920221651e-05,4.9524999667482916e-05,5.240700011199806e-05
4.99420002597617e-05,4.996999996365048e-05,5.2688999858219177e-05
4.96239999847603e-05,5.001800036552595e-05,5.2802000027440954e-05
4.9077999392466154e-05,5.0333999752183445e-05,5.2069999583181925e-05
4.9248000323132146e-05,4.993499987904215e-05,5.233999945630785e-05
4.93180004923488e-05,5.029800013289787e-05,5.223399966780562e-05
4.947300021740375e-05,4.9621000471233856e-05,5.235800017544534e-05
8.367400005226955e-05,5.0116999773308635e-05,5.1656000323418994e-05
4.9618999582889955e-05,5.003200021747034e-05,5.2180999773554504e-05
4.967099994246382e-05,5.028299983678153e-05,5.18019996889052e-05
4.890299987891922e-05,5.0042000111716334e-05,5.1697999879252166e-05
4.932299998472445e-05,4.990199977328302e-05,5.159699958312558e-05
4.872700083069503e-05,5.019799937144853e-05,5.186500038689701e-05
4.918899958283873e-05,5.0068999371433165e-05,5.169400083104847e-05
5.147499996382976e-05,5.1357999836909585e-05,5.404399962571915e-05
4.944199918099912e-05,4.95469994348241e-05,5.1901000006182585e-05
4.913599968858762e-05,4.958600038662553e-05,5.190899992157938e-05
4.9370999477105215e-05,4.8783999773149844e-05,5.162799971003551e-05
4.9000000217347406e-05,4.935500055580633e-05,5.193900051381206e-05
4.8842999603948556e-05,4.948799960402539e-05,5.2010000217705965e-05
4.880999949818943e-05,4.9885000407812186e-05,5.195500034460565e-05
4.8894000428845175e-05,4.9764000323193613e-05,5.1665999308170285e-05
4.90120000904426e-05,4.9776000196288805e-05,5.1821999477397185e-05
4.902000000583939e-05,4.9850999857881106e-05,5.194099958316656e-05
4.8777000301925e-05,4.9453000428911764e-05,5.1763000556093175e-05
4.9050000598072074e-05,4.975299998477567e-05,5.158499971003039e-05
4.907200036541326e-05,4.95570002385648e-05,5.191899981582537e-05
4.931900002702605e-05,4.906699996354291e-05,5.189500006963499e-05
4.8689999857742805e-05,4.9313000090478454e-05,5.18019996889052e-05
4.8735999371274374e-05,4.918100057693664e-05,5.19579998581321e-05
4.872399949817918e-05,4.9513000703882426e-05,5.187199985812185e-05
4.8486999730812386e-05,4.950499987899093e-05,5.175000023882603e-05
4.943899966747267e-05,4.943200019624783e-05,5.190799947740743e-05
4.9016000048140995e-05,4.9635999857855495e-05,5.14920002387953e-05
5.027699990023393e-05,5.128399970999453e-05,5.362699994293507e-05
4.941400038660504e-05,4.998700023861602e-05,5.184800011193147e-05
4.918200011161389e-05,4.928299949824577e-05,5.184200017538387e-05
4.892000015388476e-05,4.953999996359926e-05,5.21060001119622e-05
4.925900066155009e-05,4.943799922330072e-05,5.200099985813722e-05
4.935100059810793e-05,4.9823000153992325e-05,5.237599998508813e-05
4.9354999646311626e-05,4.920799983665347e-05,5.250899994280189e-05
4.904300021735253e-05,4.981599977327278e-05,5.5423000048904214e-05
4.898000042885542e-05,4.966999949829187e-05,8.026799969229614e-05
4.8922999667411204e-05,5.006099945603637e-05,5.205300021771109e-05
4.936099958285922e-05,4.978299966751365e-05,5.180300013307715e-05
4.922900006931741e-05,5.037600021751132e-05,5.204000080993865e-05
4.957100009050919e-05,4.9778000175138004e-05,5.221800074650673e-05
4.930399973090971e-05,5.0069999815605115e-05,5.2316999244794715e-05
4.8812999921210576e-05,4.9964000027102884e-05,5.220000002736924e-05
4.879200059804134e-05,4.9854000280902255e-05,5.1510999583115336e-05
4.92429999212618e-05,5.056999998487299e-05,5.185000009078067e-05
4.9029999900085386e-05,5.0177000048279297e-05,5.1682000048458576e-05
4.9172000217367895e-05,5.065499954071129e-05,5.141600013303105e-05
4.895799975201953e-05,5.0288000238651875e-05,5.1094999435008503e-05
4.897800045000622e-05,5.050000072515104e-05,5.1331000577192754e-05
4.906699996354291e-05,5.0923999879159965e-05,5.122600032336777e-05
5.105599939270178e-05,5.2133000281173736e-05,5.3079999815963674e-05
4.960099977324717e-05,5.004499962524278e-05,5.1686000006156974e-05
4.9418999878980685e-05,4.988300042896299e-05,5.237299956206698e-05
4.903799981548218e-05,5.0429000111762434e-05,5.213100030232454e-05
4.94740006615757e-05,5.015099941374501e-05,5.184200017538387e-05
4.9577000027056783e-05,5.039400002715411e-05,5.227499968896154e-05
4.9418000344303437e-05,5.023199992137961e-05,5.210000017541461e-05
4.935299966746243e-05,4.972599981556414e-05,5.172600049263565e-05
4.950800030201208e-05,4.948900004819734e-05,5.2196000069670845e-05
4.949100002704654e-05,4.9788000069384e-05,5.2044000767637044e-05
4.916299985779915e-05,5.003099977329839e-05,5.175200021767523e-05
4.9154999942402355e-05,4.9885000407812186e-05,5.17979997312068e-05
4.9170999773195945e-05,4.994299979443895e-05,5.1671000619535334e-05
4.907499987893971e-05,4.970800000592135e-05,5.189599960431224e-05
4.903800072497688e-05,5.023100038670236e-05,5.229299949860433e-05
4.919300045003183e-05,5.006199990020832e-05,5.221999981586123e-05
4.951499977323692e-05,5.0116999773308635e-05,5.2117999985057395e-05
4.9640000725048594e-05,6.944500000827247e-05,5.172800047148485e-05
4.953400002705166e-05,6.347899943648372e-05,5.244899966783123e-05
4.953600000590086e-05,4.958800036547473e-05,5.2090000281168614e-05
4.9512000259710476e-05,5.007799973100191e-05,5.190799947740743e-05
