time,time,time
4.908799928671215e-05,4.977500066161156e-05,5.147400042915251e-05
4.9622000005911104e-05,7.97200000306475e-05,5.113599945616443e-05
4.916699981549755e-05,6.410300011339132e-05,5.146200055605732e-05
4.903899935015943e-05,5.009699998481665e-05,5.158099975233199e-05
4.902599994238699e-05,5.003400019631954e-05,5.161300032341387e-05
9.117700028582476e-05,4.99400002809125e-05,5.1592000090749934e-05
5.0255999667569995e-05,4.95449994559749e-05,5.112899998493958e-05
4.8801000048115384e-05,4.973500017513288e-05,5.1357999836909585e-05
4.932799947710009e-05,5.023099947720766e-05,5.1668000196514186e-05
4.874600017501507e-05,4.968499979440821e-05,5.224600045039551e-05
4.923999949824065e-05,4.9561000196263194e-05,5.145500017533777e-05
4.905399964627577e-05,4.9170999773195945e-05,5.1622000682982616e-05
4.907999937131535e-05,4.961099966749316e-05,5.144599981576903e-05
4.944499960402027e-05,4.979699951945804e-05,5.184200017538387e-05
4.967400036548497e-05,4.9788000069384e-05,5.1420000090729445e-05
5.0055000428983476e-05,4.981199981557438e-05,5.1463999625411816e-05
4.989199987903703e-05,4.995000017515849e-05,5.153599977347767e-05
4.897399958281312e-05,4.9514000238559674e-05,5.1281000196468085e-05
4.912100030196598e-05,4.973300019628368e-05,5.1746000281127635e-05
4.961000013281591e-05,4.97049995829002e-05,5.174100078875199e-05
4.9757999477151316e-05,5.0600000577105675e-05,5.2366000090842135e-05
4.941299994243309e-05,5.0102000386686996e-05,5.264799983706325e-05
4.964700019627344e-05,5.000100009056041e-05,5.2834000598522834e-05
4.973300019628368e-05,4.964099935023114e-05,5.248399975243956e-05
4.9326000407745596e-05,4.995000017515849e-05,5.228099962550914e-05
4.939400059811305e-05,4.969600013282616e-05,5.2334999963932205e-05
4.879399966739584e-05,4.977500066161156e-05,5.227600013313349e-05
4.853900009038625e-05,4.968899975210661e-05,5.252699975244468e-05
4.8547999540460296e-05,5.051100015407428e-05,5.4385000112233683e-05
4.8441000217280816e-05,5.075100034446223e-05,5.2770000365853775e-05
4.896600057691103e-05,5.0750999434967525e-05,5.1884999265894294e-05
4.8892999984673224e-05,5.085900011181366e-05,5.1315000746399164e-05
4.9125999794341624e-05,5.081699964648578e-05,5.176999911782332e-05
4.906999947706936e-05,5.0331000238657e-05,5.130499994265847e-05
4.865400023845723e-05,5.064000015408965e-05,5.165899983694544e-05
4.893599998467835e-05,5.1145000725227874e-05,5.13360000695684e-05
4.987299962522229e-05,5.0873999498435296e-05,5.162500019650906e-05
5.0493000344431493e-05,5.088699981570244e-05,5.099500049254857e-05
4.978099968866445e-05,5.0288999773329124e-05,5.127299937157659e-05
5.00940004712902e-05,5.012500059820013e-05,5.107400011183927e-05
5.007599975215271e-05,5.041399981564609e-05,5.147800038685091e-05
5.004399918107083e-05,7.66849998399266e-05,5.0767999709933065e-05
5.0362999900244176e-05,4.9960000069404487e-05,5.166600021766499e-05
5.038800009060651e-05,5.0042000111716334e-05,5.159899956197478e-05
5.046200021752156e-05,5.012699966755463e-05,5.139499990036711e-05
5.029899966757512e-05,5.003099977329839e-05,5.127399981574854e-05
4.8905999392445665e-05,4.968000030203257e-05,5.0797999392671045e-05
4.898099996353267e-05,4.9481999667477794e-05,5.0440999984857626e-05
4.90850006826804e-05,4.9405000027036294e-05,5.107099968881812e-05
4.883400015387451e-05,4.949300000589574e-05,5.103700004838174e-05
4.880300002696458e-05,4.967300083080772e-05,5.045099987910362e-05
4.892000015388476e-05,4.951800019625807e-05,5.085900011181366e-05
4.883899964625016e-05,4.961400009051431e-05,5.090099966764683e-05
4.8179000259551685e-05,4.922599964629626e-05,5.0520000513643026e-05
4.896500013273908e-05,6.427200059988536e-05,5.085799966764171e-05
4.8459000026923604e-05,5.081800009065773e-05,5.102099930809345e-05
4.956500015396159e-05,5.1388999963819515e-05,5.114499981573317e-05
4.903799981548218e-05,6.155600021884311e-05,5.0936999286932405e-05
4.950099992129253e-05,4.972700025973609e-05,5.1433999942673836e-05
4.8859999878914095e-05,4.953899951942731e-05,5.090200011181878e-05
4.8691999836592004e-05,4.974900002707727e-05,7.034700047370279e-05
4.917600017506629e-05,4.940200051350985e-05,6.423000013455749e-05
4.9422000302001834e-05,5.04079998790985e-05,5.063600019639125e-05
4.94010000693379e-05,5.007800064049661e-05,5.0845000259869266e-05
4.9622000005911104e-05,4.979799996362999e-05,5.089000023872359e-05
4.913700013275957e-05,4.969200017512776e-05,5.115400017530192e-05
4.882900066149887e-05,4.9686000238580164e-05,5.101100032334216e-05
4.9075999413616955e-05,4.971699945599539e-05,5.103900002723094e-05
4.8969999625114724e-05,5.00919995829463e-05,5.1260999498481397e-05
4.956599968863884e-05,4.967800032318337e-05,5.0782999096554704e-05
4.9078999836638104e-05,5.0208999709866475e-05,5.100899943499826e-05
4.899200030195061e-05,4.9358000069332775e-05,5.1185999836889096e-05
4.859199998463737e-05,4.9746000513550825e-05,5.0833000386774074e-05
4.90100001115934e-05,4.983400049241027e-05,5.064999913884094e-05
4.8767000407679006e-05,4.995800009055529e-05,5.111300015414599e-05
4.805200023838552e-05,4.969299970980501e-05,5.1107999752275646e-05
5.048000002716435e-05,5.1311999413883314e-05,5.282199981593294e-05
4.84669999423204e-05,4.97799992444925e-05,5.077700006950181e-05
4.873899979429552e-05,5.391000013332814e-05,5.094800053484505e-05
4.843199985771207e-05,5.040500036557205e-05,5.128999964654213e-05
4.8259000323014334e-05,4.9806999413704034e-05,5.10280005983077e-05
4.8608999350108206e-05,5.00189999002032e-05,5.088099987915484e-05
4.8441999751958065e-05,4.976199943484971e-05,5.090400009066798e-05
4.86190001538489e-05,4.9974999456026126e-05,5.104400042910129e-05
5.3591999858326744e-05,4.947099932905985e-05,5.0951999583048746e-05
4.973799968865933e-05,4.962500042893225e-05,5.041900021751644e-05
4.888800049229758e-05,4.97840001116856e-05,5.065400000603404e-05
4.8614000661473256e-05,4.977200023859041e-05,5.051000061939703e-05
4.8906999836617615e-05,4.9311000111629255e-05,5.1090999477310106e-05
4.9168999794346746e-05,4.94010000693379e-05,5.129100009071408e-05
4.905799960397417e-05,4.977099979441846e-05,5.1061999329249375e-05
4.9512999794387724e-05,4.946000080963131e-05,5.092900028103031e-05
4.94699997943826e-05,4.9995000154012814e-05,5.1175000407965854e-05
4.953799998475006e-05,4.9805999879026785e-05,5.1092999456159305e-05
4.9825000132841524e-05,4.9656000555842184e-05,5.082099960418418e-05
4.9700000090524554e-05,4.9711999963619746e-05,5.103799958305899e-05
5.072700059827184e-05,5.105299987917533e-05,5.220900038693799e-05
4.9002000196196605e-05,4.982599966751877e-05,5.0894000196421985e-05
4.889800038654357e-05,5.013000009057578e-05,5.046600017521996e-05
4.883299970970256e-05,4.9680999836709816e-05,5.0734999604173936e-05
4.888700004812563e-05,4.974100011168048e-05,5.062299987912411e-05
4.836900006921496e-05,4.941700080962619e-05,5.049799983680714e-05
4.8644999878888484e-05,4.967400036548497e-05,5.1157000598323066e-05
4.866899962507887e-05,4.988799992133863e-05,5.0955000006069895e-05
4.871100009040674e-05,4.94719997732318e-05,5.0753999857988674e-05
4.8582999625068624e-05,4.920899937133072e-05,5.08719995195861e-05
4.873799935012357e-05,4.9526999646332115e-05,5.0845999794546515e-05
4.86959997942904e-05,4.919599996355828e-05,5.1080000048386864e-05
4.867799998464761e-05,4.930399973090971e-05,5.13340000907192e-05
4.878700019617099e-05,4.975800038664602e-05,5.1158000133000314e-05
4.870900011155754e-05,4.961600006936351e-05,5.0876999921456445e-05
4.87709994558827e-05,5.00149999425048e-05,5.099600002722582e-05
4.92389999635634e-05,4.959600028087152e-05,5.120900004840223e-05
4.876099956163671e-05,4.911999985779403e-05,5.090200011181878e-05
4.885900034423685e-05,4.945700038661016e-05,5.122699985804502e-05
4.8631000026944093e-05,4.977899970981525e-05,5.0984999688807875e-05
4.893200002697995e-05,4.987600004824344e-05,5.137800053489627e-05
4.8253999921143986e-05,4.959899979439797e-05,5.069700000603916e-05
5.003099977329839e-05,5.093599975225516e-05,5.243900068307994e-05
4.864099992119009e-05,4.975499996362487e-05,5.096599943499314e-05
4.855499992117984e-05,5.009300002711825e-05,5.057699945609784e-05
4.865299979428528e-05,5.0117000682803337e-05,5.083899941382697e-05
4.8647000767232385e-05,5.0288999773329124e-05,5.07200002175523e-05
4.8644000344211236e-05,4.975200045009842e-05,5.065200002718484e-05
4.867799998464761e-05,4.979299956175964e-05,5.062700074631721e-05
4.871399960393319e-05,4.9095000576926395e-05,5.0796999857993796e-05
4.8903999413596466e-05,4.957900000590598e-05,5.108999994263286e-05
4.87000006614835e-05,5.0100999942515045e-05,5.084999975224491e-05
4.922700009046821e-05,4.984499992133351e-05,5.127599979459774e-05
4.902000000583939e-05,4.992300000594696e-05,5.102499926579185e-05
4.904200068267528e-05,5.0366999857942574e-05,5.134499951964244e-05
4.866800009040162e-05,4.982900009053992e-05,5.120999958307948e-05
4.866899962507887e-05,5.0364999879093375e-05,5.082500047137728e-05
4.883899964625016e-05,4.953400002705166e-05,5.085299926577136e-05
