time,time,time
0.0018574320001789602,0.0019188999995094491,0.0019472310004857718
9.508900075161364e-05,7.81599992478732e-05,9.166100062429905e-05
7.902899960754439e-05,6.857099924673093e-05,8.08750000942382e-05
7.589799952256726e-05,6.726199990225723e-05,7.728399941697717e-05
8.903300022211624e-05,6.476700036728289e-05,7.547200038970914e-05
5.9439999859023374e-05,6.547700013470603e-05,7.400300000881543e-05
0.00010031100009655347,6.300599943642737e-05,7.59149997975328e-05
7.353799992415588e-05,6.503099939436652e-05,7.5678000030166e-05
5.748200055677444e-05,6.38980000076117e-05,7.476700011466164e-05
5.745999987993855e-05,6.493000000773463e-05,7.359000028372975e-05
8.867099950293778e-05,6.468500032497104e-05,7.875099981902167e-05
5.9097999837831594e-05,6.318299983831821e-05,7.386400011455407e-05
6.113899962656433e-05,6.441999994422076e-05,7.425600051647052e-05
8.4981999862066e-05,6.554100036737509e-05,7.331100005103508e-05
7.892900066508446e-05,6.496100013464456e-05,7.634299981873482e-05
5.73799998164759e-05,6.311499964795075e-05,7.334000019909581e-05
7.062900021992391e-05,6.554099945788039e-05,8.17420004750602e-05
7.404999996651895e-05,6.461699922510888e-05,7.535799977631541e-05
5.6911000683612656e-05,6.686400047328789e-05,7.655399986106204e-05
8.648099992569769e-05,6.402799954230431e-05,7.442500009346986e-05
5.820099977427162e-05,6.344800021906849e-05,7.822299994586501e-05
6.151500019768719e-05,8.299900036945473e-05,7.547800032625673e-05
5.817900000693044e-05,6.495500019809697e-05,7.88590004958678e-05
6.045200007065432e-05,6.601499990210868e-05,7.303900019905996e-05
5.7637999816506635e-05,6.212700009200489e-05,7.745999937469605e-05
6.072699943615589e-05,6.616599966946524e-05,7.279300007212441e-05
5.730600059905555e-05,6.1179000113043e-05,7.747400013613515e-05
6.142900019767694e-05,6.620299973292276e-05,7.363199983956292e-05
5.820700062031392e-05,6.306900013441918e-05,7.524499960709363e-05
6.075799956306582e-05,6.542299979628297e-05,7.800500043231295e-05
5.690499983757036e-05,6.346200007101288e-05,7.388199992419686e-05
6.101400049374206e-05,6.657199992332608e-05,7.520599956478691e-05
5.777000023954315e-05,6.348499937303131e-05,7.722100053797476e-05
6.106000000727363e-05,6.577900057891384e-05,7.365199962805491e-05
5.662099920300534e-05,6.165600007079775e-05,7.907200051704422e-05
6.10289998803637e-05,6.608999956370099e-05,7.432199981849408e-05
5.787499958387343e-05,6.324599962681532e-05,7.871800062275724e-05
6.050100000720704e-05,6.56810007058084e-05,7.283900049515069e-05
5.829299971082946e-05,6.253900028241333e-05,7.774100049573462e-05
6.121400019765133e-05,6.552400009240955e-05,7.239899969135877e-05
5.7889000345312525e-05,6.262299939407967e-05,7.839200043235905e-05
6.147000021883287e-05,6.598799973289715e-05,7.547400036855834e-05
5.809499998576939e-05,6.246999964787392e-05,7.316300070669968e-05
6.085499990149401e-05,6.598100026167231e-05,7.883499984018272e-05
5.681299990101252e-05,6.290700002864469e-05,7.20389998605242e-05
6.104099975345889e-05,6.223899981705472e-05,7.355400066444417e-05
5.635999968944816e-05,6.587700045201927e-05,7.492199983971659e-05
6.0774000303354114e-05,6.132300040917471e-05,7.364299926848616e-05
5.8644999626267236e-05,6.677900000795489e-05,7.680199996684678e-05
6.125899926701095e-05,6.254599975363817e-05,7.305899998755194e-05
5.811499977426138e-05,6.602499979635468e-05,7.42069996704231e-05
6.131400004960597e-05,6.0805000430264045e-05,7.364500015683006e-05
5.693000002793269e-05,6.571199992322363e-05,7.263799943757476e-05
6.156300059956266e-05,6.206800026120618e-05,7.854100022086641e-05
5.856499956280459e-05,6.68359998599044e-05,7.262899998750072e-05
6.197299990162719e-05,6.378199941536877e-05,7.799899958627066e-05
5.840099947818089e-05,6.531100007123314e-05,7.47619997127913e-05
6.164600017655175e-05,6.377299996529473e-05,7.267700038937619e-05
5.76940001337789e-05,6.329200004984159e-05,7.87860008131247e-05
6.13409993093228e-05,6.684700019832235e-05,7.459500011464115e-05
5.734100068366388e-05,6.283400034590159e-05,7.749399992462713e-05
6.099900019762572e-05,6.678099998680409e-05,7.250999988173135e-05
5.803599924547598e-05,6.330300038825953e-05,7.868299962865422e-05
