first(relu_act),avgTail(relu_act),first(leaky_relu_act),avgTail(leaky_relu_act),first(tanh_act),avgTail(tanh_act),first(sigmoid_act),avgTail(sigmoid_act),first(scalar_mult),avgTail(scalar_mult),first(small_dense),avgTail(small_dense),first(big_dense),avgTail(big_dense),first(simple_conv2d),avgTail(simple_conv2d),first(strided_conv2d),avgTail(strided_conv2d),first(dilated_conv2d),avgTail(dilated_conv2d),first(small_conv2d),avgTail(small_conv2d),first(big_conv2d),avgTail(big_conv2d),first(many_conv2d),avgTail(many_conv2d),first(few_conv2d),avgTail(few_conv2d)
3.167199974996038e-05,1.2318571472340928e-05,3.0512999728671275e-05,1.3841714332686803e-05,2.7113000214740168e-05,1.2780714314430952e-05,2.2756000362278428e-05,1.10904285455555e-05,2.8843000109191053e-05,1.3466142913135368e-05,0.00037552800040430157,3.4699142815952655e-05,0.0008029689997783862,0.0006558755714130322,0.03354513100020995,0.024752606428592117,0.0011862850005854852,0.0015682539999813474,0.029832629000338784,0.023626452428548612,0.021563586999945983,0.020099848714250714,0.09461244100020849,0.07929208142858053,1.0712141410003824,0.9337922509999511,0.007681987000069057,0.008192811714252457
2.1273000129440334e-05,1.2226714326451266e-05,2.1519000256375875e-05,1.2319857237993606e-05,1.6349999896192458e-05,1.1134428599949128e-05,2.2885000362293795e-05,1.1403142837350191e-05,1.8943000213766936e-05,1.3797999989557347e-05,7.161000030464493e-05,2.5101428556289257e-05,0.00045217400020192144,0.0004384922857363043,0.03240929900039191,0.030642499285802063,0.0011053280004489352,0.0011148594285259605,0.029647024999576388,0.02324061300000072,0.023947474000124203,0.019322871142971314,0.11267782499999157,0.07857544771429405,0.924242869000409,0.9541463998571739,0.009882379999908153,0.00896410442861192
3.290900076535763e-05,1.7839285776842318e-05,2.2219999664230272e-05,8.155285805904506e-06,2.5160999939544126e-05,6.949285826911884e-06,2.4977999601105694e-05,1.9898428555669462e-05,4.35760002801544e-05,2.9164571450175053e-05,0.00011489100052131107,3.8075571475409174e-05,0.0011365600003045984,0.0006304187142762073,0.028472967999732646,0.023486995571407272,0.0011141940003653872,0.0011050905714000692,0.027921955999772763,0.02452863557144675,0.03025913999954355,0.01966665200000404,0.08777438099969004,0.08354636699992365,0.9314177409996773,0.9320338384286515,0.008587967000494245,0.008909738999916175
3.3553999855939765e-05,1.2517142879784973e-05,1.8802000340656377e-05,1.6595428600599655e-05,1.6917000721150544e-05,1.4905285752320196e-05,2.6513999728194904e-05,1.4674571502837352e-05,2.198899983341107e-05,1.8242428658205817e-05,7.268000081239734e-05,3.325485717401274e-05,0.0006937769994692644,0.00054887785712968,0.029951182999866433,0.023549211571532527,0.0011214979995202157,0.0011621074285618046,0.027410446999965643,0.025574694142830725,0.020042967999870598,0.019014525571427448,0.08435349899991706,0.0851121702857459,0.9498231140005373,0.9343586501428425,0.010709088000112388,0.008832871714340789
2.8697999368887395e-05,1.329900000460579e-05,4.17969995396561e-05,1.3623714299423487e-05,2.3083000087353867e-05,1.183871427201666e-05,2.3081999643181916e-05,1.1185000013418695e-05,2.8352999834169168e-05,1.542499999881589e-05,8.407999939663569e-05,2.7557714279932304e-05,0.0006821369997851434,0.0006394690000368948,0.037813553999512806,0.02788054685710709,0.0012764040002366528,0.001558081428551564,0.03377838999949745,0.02390740428576724,0.019640282000182196,0.0188485542856662,0.09791402100017876,0.07952923742855741,0.9189732129998447,0.9403783780000075,0.0073125110002365545,0.008804862142824277
