time,time,time,time,time,time
0.0018029319999186555,0.0018440949997966527,0.001870447999863245,0.0019369649999134708,0.0018401409997750307,0.00185813100051746
6.191900047269883e-05,6.118799956311705e-05,6.196899994392879e-05,6.138599928817712e-05,6.130600013420917e-05,6.140699952084105e-05
5.355499979486922e-05,5.329299983714009e-05,5.29670005562366e-05,5.4338000154530164e-05,5.283799964672653e-05,5.338199935067678e-05
7.525499950133963e-05,5.2148999202472623e-05,5.134900038683554e-05,5.1256999540783e-05,5.105399941385258e-05,5.1234999773441814e-05
9.255999975721352e-05,5.088899979455164e-05,5.107099968881812e-05,5.107200013299007e-05,5.007799973100191e-05,5.048200000601355e-05
5.16419995619799e-05,5.1328000154171605e-05,5.067300025984878e-05,5.111199970997404e-05,5.026300004828954e-05,5.0861000090662856e-05
5.088699981570244e-05,5.0132000069424976e-05,5.039200004830491e-05,5.0333999752183445e-05,5.019099990022369e-05,5.074399996374268e-05
5.0788999942597e-05,5.015900023863651e-05,4.9960000069404487e-05,5.000600049243076e-05,4.936500045005232e-05,5.022300047130557e-05
5.006599985790672e-05,5.012099973100703e-05,4.97110004289425e-05,4.9883999963640235e-05,4.9016000048140995e-05,5.0661999921430834e-05
4.9668999963614624e-05,4.976299987902166e-05,4.973399973096093e-05,4.976199943484971e-05,4.949000049236929e-05,5.0614000429050066e-05
4.9979000323219225e-05,4.951699975208612e-05,4.976199943484971e-05,4.995000017515849e-05,4.964199979440309e-05,5.015900023863651e-05
5.034100013290299e-05,4.9760999900172465e-05,5.0022999857901596e-05,4.9930000386666507e-05,4.9837000005936716e-05,5.010699987906264e-05
4.9432999730925076e-05,4.922500011161901e-05,4.9588999900151975e-05,4.983600047125947e-05,4.9960000069404487e-05,4.964599975210149e-05
5.00940004712902e-05,4.988199998479104e-05,4.9313000090478454e-05,4.97050004923949e-05,4.9498999942443334e-05,4.95550002597156e-05
4.96279999424587e-05,4.8689999857742805e-05,5.0016999921354e-05,4.9064999984693713e-05,4.94800005981233e-05,4.9605000640440267e-05
4.977000025974121e-05,5.052599954069592e-05,5.07909999214462e-05,4.965999960404588e-05,4.975000047124922e-05,4.958699992130278e-05
4.995400013285689e-05,4.920799983665347e-05,4.9946999752137344e-05,4.9526000111654866e-05,4.974900002707727e-05,5.023199992137961e-05
4.991900004824856e-05,4.9957999181060586e-05,4.9526000111654866e-05,4.9979000323219225e-05,5.0055999963660724e-05,5.005100047128508e-05
4.9989999752142467e-05,4.987700049241539e-05,4.997299947717693e-05,4.9788999604061246e-05,4.926099973090459e-05,4.951000028086128e-05
5.055699966760585e-05,4.9607000619289465e-05,4.9549000323168e-05,4.981700021744473e-05,4.958299996360438e-05,5.0147999900218565e-05
5.0134000048274174e-05,4.95449994559749e-05,4.933099990012124e-05,4.9498000407766085e-05,4.94759997309302e-05,4.932299998472445e-05
4.974799958290532e-05,4.977000025974121e-05,5.015499937144341e-05,4.919699949823553e-05,4.947700017510215e-05,4.992399954062421e-05
4.9650999244477134e-05,4.9201999900105875e-05,5.026300004828954e-05,4.960799924447201e-05,4.969600013282616e-05,5.012400015402818e-05
4.92429999212618e-05,4.9840000428957865e-05,5.028400028095348e-05,5.000300006940961e-05,5.004700051358668e-05,5.011400025978219e-05
4.979699951945804e-05,4.934699973091483e-05,5.05640000483254e-05,5.0180000471300445e-05,4.979599998478079e-05,4.961500053468626e-05
4.9387999752070755e-05,4.9575000048207585e-05,5.093399977340596e-05,4.991999958292581e-05,4.967899985786062e-05,4.967299992131302e-05
5.0131999159930274e-05,5.005300045013428e-05,5.026800045015989e-05,4.9904000661626924e-05,4.9373000365449116e-05,4.9559999752091244e-05
5.012600013287738e-05,4.981099937140243e-05,5.039200004830491e-05,5.001800036552595e-05,4.967600034433417e-05,4.979999994247919e-05
5.0175999604107346e-05,4.9964000027102884e-05,5.041900021751644e-05,4.9531000513525214e-05,4.9838999984785914e-05,5.013000009057578e-05
4.948599962517619e-05,5.0333000217506196e-05,5.083599990030052e-05,4.9620000027061906e-05,4.984099996363511e-05,5.02499997310224e-05
5.025300015404355e-05,5.0706999900285155e-05,5.0257999646419194e-05,4.937599987897556e-05,4.984099996363511e-05,4.964199979440309e-05
5.024699930800125e-05,4.995099970983574e-05,4.9840000428957865e-05,4.9949000640481245e-05,5.014299949834822e-05,5.014399994252017e-05
5.002200032322435e-05,5.016100021748571e-05,4.956199973094044e-05,4.94759997309302e-05,4.9899999794433825e-05,4.995099970983574e-05
4.984499992133351e-05,5.0181000005977694e-05,4.885099951934535e-05,4.929999977321131e-05,4.980399990017759e-05,4.985000032320386e-05
4.938399979437236e-05,4.9729000238585286e-05,4.907000038656406e-05,4.9463999857835006e-05,4.952400013280567e-05,4.982700011169072e-05
4.945700038661016e-05,5.0113999350287486e-05,4.9156999921251554e-05,4.984299994248431e-05,4.959800025972072e-05,4.961299964634236e-05
4.98670005981694e-05,5.0582999392645434e-05,4.8846000026969705e-05,4.941099996358389e-05,4.9293999836663716e-05,4.9772999773267657e-05
5.053400036558742e-05,5.053099994256627e-05,4.937800076731946e-05,4.9557999773242045e-05,4.9250000301981345e-05,4.961100057698786e-05
