time,time
4.955199983669445e-05,4.8741000682639424e-05
4.89329995616572e-05,4.850799996347632e-05
4.884200006927131e-05,4.90829997943365e-05
4.9384999329049606e-05,4.859399996348657e-05
4.926699966745218e-05,4.841600002691848e-05
6.21210001554573e-05,4.798999998456566e-05
5.190600040805293e-05,4.839099983655615e-05
4.998700023861602e-05,4.770600025949534e-05
5.015700025978731e-05,4.831000023841625e-05
5.043599958298728e-05,4.8582999625068624e-05
5.003200021747034e-05,4.86250000903965e-05
5.000199962523766e-05,4.861999968852615e-05
5.060600051365327e-05,4.8658999730832875e-05
5.059100021753693e-05,4.8504000005777925e-05
4.972099941369379e-05,4.834199990000343e-05
4.943100066157058e-05,4.891699973086361e-05
4.935500055580633e-05,4.863900085183559e-05
4.954999985784525e-05,4.88539999423665e-05
4.9543999921297655e-05,4.845400053454796e-05
4.999999964638846e-05,4.832900049223099e-05
4.992699996364536e-05,4.846400042879395e-05
4.952700055582682e-05,4.851499943470117e-05
4.9453000428911764e-05,4.812299994227942e-05
4.933299987897044e-05,4.812199949810747e-05
5.050899926573038e-05,4.9806999413704034e-05
4.972500028088689e-05,4.871100009040674e-05
4.973700015398208e-05,4.854100006923545e-05
4.934000025968999e-05,4.863300000579329e-05
4.9154999942402355e-05,4.8566999794275034e-05
4.917499973089434e-05,4.8396999773103744e-05
4.929900023853406e-05,4.819700006919447e-05
4.9637000302027445e-05,4.826799977308838e-05
4.9293999836663716e-05,4.821699985768646e-05
5.00129999636556e-05,4.850100049225148e-05
4.9648999265627936e-05,4.820200047106482e-05
4.9420999857829884e-05,4.8335999963455833e-05
4.93929992444464e-05,4.860399985773256e-05
4.9201000365428627e-05,4.843300030188402e-05
4.949000049236929e-05,4.860599983658176e-05
4.93219995405525e-05,4.844799968850566e-05
4.969500059814891e-05,4.8289000005752314e-05
4.984099996363511e-05,4.844699924433371e-05
4.949200047121849e-05,4.83089997942443e-05
4.9373000365449116e-05,4.8427999900013674e-05
4.9572999159863684e-05,4.8486999730812386e-05
4.9158000365423504e-05,4.858600004808977e-05
4.9530000069353264e-05,4.86250000903965e-05
4.966300002706703e-05,4.864899983658688e-05
4.964799973095069e-05,4.832099966733949e-05
4.928799990011612e-05,4.8118000449903775e-05
4.9092000153905246e-05,4.774100034410367e-05
4.922100015392061e-05,4.8116000471054576e-05
5.0007999561785255e-05,4.942499981552828e-05
4.9159999434778e-05,4.86959997942904e-05
4.921399977320107e-05,4.8224000238406006e-05
5.002800025977194e-05,4.845399962505326e-05
4.964599975210149e-05,4.870900011155754e-05
4.984699990018271e-05,4.8706000598031096e-05
4.938400070386706e-05,4.802200055564754e-05
4.912400072498713e-05,4.823699964617845e-05
4.911399992124643e-05,4.824199913855409e-05
