first,avgTail,first,avgTail,first,avgTail
6.038000719854608e-06,3.0142074367582776e-06,7.62400304665789e-06,4.588600780966157e-06,1.1703999916790053e-05,8.35233072527236e-06
1.1898999218828976e-05,5.851954989132531e-06,1.2088999937986955e-05,6.178773000370255e-06,1.1273998097749427e-05,8.073109586815642e-06
1.678600165178068e-05,6.502107636221191e-06,1.0032003046944737e-05,5.874747552860204e-06,1.123300171457231e-05,7.671236790775425e-06
3.914099943358451e-05,1.15152152650215e-05,1.497699850006029e-05,7.1750430579556045e-06,1.2860997230745852e-05,8.49436594686132e-06
5.416997737484053e-06,2.725187868700926e-06,7.355996785918251e-06,4.164393343771361e-06,1.0596999345580116e-05,7.63425831669311e-06
8.930001058615744e-06,4.270430530126183e-06,1.0851999832084402e-05,6.481814093399363e-06,1.3615001080324873e-05,9.576630141686761e-06
1.2679000064963475e-05,5.790559689896163e-06,1.0315998224541545e-05,5.273968685582852e-06,9.87699968391098e-06,7.168990215869828e-06
1.3681001291843131e-05,5.901915857562916e-06,9.289000445278361e-06,5.472101761076468e-06,1.0665997251635417e-05,7.335197656593557e-06
5.056997906649485e-06,2.604853233412262e-06,6.725000275764614e-06,4.099884539819368e-06,1.0286999895470217e-05,7.393694718365162e-06
1.2265001714695245e-05,5.798062618943514e-06,1.0389998351456597e-05,5.269035223234489e-06,1.0094001481775194e-05,7.220273977270853e-06
2.1741001546615735e-05,1.1687127198901396e-05,1.1916999937966466e-05,7.1100861062737705e-06,1.148999945144169e-05,8.080825832416805e-06
1.2329001037869602e-05,5.351035229949675e-06,8.475999493384734e-06,5.042847358018393e-06,9.784998837858438e-06,7.114917804886188e-06
6.6259999584872276e-06,3.007207438702843e-06,7.914000889286399e-06,4.6371859096222125e-06,1.1699998140102252e-05,7.666268101970824e-06
5.111000064061955e-06,2.6008454052920028e-06,6.322999979602173e-06,3.926645790216734e-06,9.162002243101597e-06,6.895060663534339e-06
5.452002369565889e-06,2.7290019584312094e-06,6.952999683562666e-06,4.200696670213339e-06,1.064400203176774e-05,7.435064581714921e-06
2.2951000573812053e-05,1.1646242660434767e-05,1.2223001249367371e-05,6.6060489267425215e-06,1.095100014936179e-05,7.833788646583276e-06
1.1776999599533156e-05,5.453549898828702e-06,8.718001481611282e-06,5.07573776910539e-06,9.915998816723004e-06,6.994731899568676e-06
5.540001438930631e-06,2.741690794231075e-06,7.195005309768021e-06,4.204722111561717e-06,1.0635994840413332e-05,7.62777298940856e-06
1.2059004802722484e-05,5.79093933541058e-06,1.001099735731259e-05,5.220892361739793e-06,9.959003364201635e-06,7.096624267611055e-06
4.935995093546808e-06,2.5176046982976204e-06,6.382993888109922e-06,3.8709863091986666e-06,9.318006050307304e-06,6.88359685836327e-06
9.876996045932174e-06,4.887645799892639e-06,1.2441996659617871e-05,7.0528767110165686e-06,1.1178002750966698e-05,7.866700586531158e-06
9.527997463010252e-06,4.6368767027816064e-06,8.331997378263623e-06,4.7395909977384244e-06,9.392002539243549e-06,6.88440703837941e-06
5.132002115715295e-06,2.5487182023543173e-06,5.987996701151133e-06,3.760594910729691e-06,2.2008993255440146e-05,6.821602737848189e-06
9.689996659290045e-06,4.671021518862484e-06,8.384995453525335e-06,4.749540108007264e-06,9.545001375954598e-06,6.8267827925095495e-06
1.2288001016713679e-05,4.663234834587511e-06,8.604998583905399e-06,4.7657182068817335e-06,9.278002835344523e-06,6.824608605378717e-06
2.279200271004811e-05,8.71368884639778e-06,9.912997484207153e-06,5.740181998798073e-06,9.567003871779889e-06,7.164500978499206e-06
1.52770007844083e-05,7.181209396436964e-06,9.603005310054868e-06,5.419158504673493e-06,9.611998393666e-06,6.9892681110376915e-06
1.2443000741768628e-05,5.221990219735652e-06,9.174000297207385e-06,4.8006947176009706e-06,9.510004019830376e-06,6.848982394168995e-06
1.013399742078036e-05,4.6277416881616725e-06,7.415001164190471e-06,4.48189825029158e-06,9.26399661693722e-06,6.832487285665716e-06
2.229300298495218e-05,9.854649700595289e-06,9.841998689807951e-06,5.69313503036352e-06,9.889001375995576e-06,7.0914383608585405e-06
5.647001671604812e-06,2.9953483326056217e-06,7.735994586255401e-06,4.7317593050446296e-06,1.0498995834495872e-05,7.648532293188348e-06
2.4098997528199106e-05,9.422397261272218e-06,9.693001629784703e-06,5.5070626235033025e-06,9.805997251532972e-06,7.057530333770078e-06
