min,max,avg,std
9.294000392401358e-06,4.6630000269942684e-05,1.1039531202072794e-05,6.562013545503311e-06
2.042000232904684e-06,8.822999916446861e-06,2.3697499784702813e-06,1.1796371356445589e-06
2.0679999579442665e-06,8.661999345349614e-06,2.3930312238462648e-06,1.140282030732708e-06
