min(relu_act),max(relu_act),avg(relu_act),std(relu_act)
2.047999714704929e-06,1.381799984301324e-05,2.6227812952583918e-06,2.070185345912993e-06
2.0279999262129422e-06,8.741000328882365e-06,2.335343765480502e-06,1.1706182912546779e-06
2.0259999473637436e-06,9.308999779022997e-06,2.505718740053453e-06,1.4163287768953306e-06
