first,avgTail,first,avgTail,first,avgTail,first,avgTail,first,avgTail,first,avgTail
6.038000719854608e-06,3.0142074367582776e-06,7.62400304665789e-06,4.588600780966157e-06,1.1703999916790053e-05,8.35233072527236e-06,0.00018218100012745708,0.00018308844813510206,0.00017959300021175295,0.00018371428180513985,0.00018824700237018988,0.00018332772407403494
1.1898999218828976e-05,5.851954989132531e-06,1.2088999937986955e-05,6.178773000370255e-06,1.1273998097749427e-05,8.073109586815642e-06,0.0001912949992401991,0.00018782704109500286,0.00018202900173491798,0.00018363953619870063,0.00018210999769507907,0.000183586567519162
1.678600165178068e-05,6.502107636221191e-06,1.0032003046944737e-05,5.874747552860204e-06,1.123300171457231e-05,7.671236790775425e-06,0.000183553001988912,0.00018421094715812813,0.00018838699907064438,0.00018346334050561906,0.00018108400035998784,0.00018345494911949689
3.914099943358451e-05,1.15152152650215e-05,1.497699850006029e-05,7.1750430579556045e-06,1.2860997230745852e-05,8.49436594686132e-06,0.0001822420017560944,0.0001835091780845979,0.0001810040012060199,0.0001830693757357536,0.0001964900002349168,0.00018330333659476864
5.416997737484053e-06,2.725187868700926e-06,7.355996785918251e-06,4.164393343771361e-06,1.0596999345580116e-05,7.63425831669311e-06,0.00019119100034004077,0.00018370805870422205,0.00018762899708235636,0.00018380624852823267,0.0001812009977584239,0.00018326696868886335
8.930001058615744e-06,4.270430530126183e-06,1.0851999832084402e-05,6.481814093399363e-06,1.3615001080324873e-05,9.576630141686761e-06,0.00019748100021388382,0.00018353586105729813,0.0001961900015885476,0.00018309923091918364,0.00018040600116364658,0.00018367447553226658
1.2679000064963475e-05,5.790559689896163e-06,1.0315998224541545e-05,5.273968685582852e-06,9.87699968391098e-06,7.168990215869828e-06,0.0001817010015656706,0.00018538084539991245,0.00018243800150230527,0.00018340568689250344,0.00017947699961951002,0.00018344720156307227
1.3681001291843131e-05,5.901915857562916e-06,9.289000445278361e-06,5.472101761076468e-06,1.0665997251635417e-05,7.335197656593557e-06,0.00018271999942953698,0.0001831012896307445,0.0001812920017982833,0.00018392599021569176,0.0002196970017394051,0.00018313755577291387
5.056997906649485e-06,2.604853233412262e-06,6.725000275764614e-06,4.099884539819368e-06,1.0286999895470217e-05,7.393694718365162e-06,0.0001807650005503092,0.00018256273189813142,0.00019494500156724826,0.00018238597260310802,0.00018163399727200158,0.00018300285517935662
1.2265001714695245e-05,5.798062618943514e-06,1.0389998351456597e-05,5.269035223234489e-06,1.0094001481775194e-05,7.220273977270853e-06,0.00018140600150218233,0.00018345425440793138,0.0001815329997043591,0.0001835422778894866,0.0001909200000227429,0.0001837543679033693
2.1741001546615735e-05,1.1687127198901396e-05,1.1916999937966466e-05,7.1100861062737705e-06,1.148999945144169e-05,8.080825832416805e-06,0.00022777599951950833,0.00023385534833891386,0.0002983839985972736,0.00026734173972794783,0.0003963550007028971,0.0002456326634103
1.2329001037869602e-05,5.351035229949675e-06,8.475999493384734e-06,5.042847358018393e-06,9.784998837858438e-06,7.114917804886188e-06,0.00018916900080512278,0.0001833218023486922,0.00019462899945210665,0.00018350382974315955,0.00019939899721066467,0.00018290993737754205
6.6259999584872276e-06,3.007207438702843e-06,7.914000889286399e-06,4.6371859096222125e-06,1.1699998140102252e-05,7.666268101970824e-06,0.0001985140006581787,0.00018453194520775905,0.000186802997632185,0.0001875412152665362,0.00018144700152333826,0.00018285779451919263
5.111000064061955e-06,2.6008454052920028e-06,6.322999979602173e-06,3.926645790216734e-06,9.162002243101597e-06,6.895060663534339e-06,0.0001824770006351173,0.0001830869373771906,0.00018257400006405078,0.00018322373581015908,0.0001891229985631071,0.0001855424344443389
5.452002369565889e-06,2.7290019584312094e-06,6.952999683562666e-06,4.200696670213339e-06,1.064400203176774e-05,7.435064581714921e-06,0.00018266999904881231,0.00018303669276065193,0.00020734700228786096,0.00018760721918010726,0.0001886589998321142,0.00018226057143091157
2.2951000573812053e-05,1.1646242660434767e-05,1.2223001249367371e-05,6.6060489267425215e-06,1.095100014936179e-05,7.833788646583276e-06,0.00019436000002315268,0.00018316273776966524,0.00018211999849881977,0.00018315385714302718,0.00018250499852001667,0.00018317377299103163
1.1776999599533156e-05,5.453549898828702e-06,8.718001481611282e-06,5.07573776910539e-06,9.915998816723004e-06,6.994731899568676e-06,0.00017970800035982393,0.00018232768493513812,0.0001825239996833261,0.00018320903130628145,0.0001876679998531472,0.00018219543836118723
5.540001438930631e-06,2.741690794231075e-06,7.195005309768021e-06,4.204722111561717e-06,1.0635994840413332e-05,7.62777298940856e-06,0.0002065029984805733,0.0002079060704537545,0.0001817579977796413,0.00018342138160295317,0.0001917529953061603,0.00018340483561970125
1.2059004802722484e-05,5.79093933541058e-06,1.001099735731259e-05,5.220892361739793e-06,9.959003364201635e-06,7.096624267611055e-06,0.00018229599663754925,0.0001833210763191839,0.00018134999845642596,0.00018317607045652065,0.00018120800086762756,0.000183746788640841
4.935995093546808e-06,2.5176046982976204e-06,6.382993888109922e-06,3.8709863091986666e-06,9.318006050307304e-06,6.88359685836327e-06,0.00020519900135695934,0.00018339434833062628,0.00019611600146163255,0.00018375571036026512,0.00019108799460809678,0.00018362591584810417
9.876996045932174e-06,4.887645799892639e-06,1.2441996659617871e-05,7.0528767110165686e-06,1.1178002750966698e-05,7.866700586531158e-06,0.0001830199980759062,0.00018388496085576742,0.0001805299980333075,0.00018317178669731895,0.00018945599731523544,0.000183082514684219
9.527997463010252e-06,4.6368767027816064e-06,8.331997378263623e-06,4.7395909977384244e-06,9.392002539243549e-06,6.88440703837941e-06,0.0001890580024337396,0.00018484584148847926,0.0001807470034691505,0.00018351479646942984,0.00021189299877732992,0.00018301932289266918
5.132002115715295e-06,2.5487182023543173e-06,5.987996701151133e-06,3.760594910729691e-06,2.2008993255440146e-05,6.821602737848189e-06,0.0001986520001082681,0.0001831562367940883,0.0002143259989679791,0.00018528550879782843,0.0001950879959622398,0.0001829388434400667
