first(relu_act),avgTail(relu_act),first(leaky_relu_act),avgTail(leaky_relu_act),first(tanh_act),avgTail(tanh_act),first(sigmoid_act),avgTail(sigmoid_act),first(scalar_mult),avgTail(scalar_mult),first(small_dense),avgTail(small_dense),first(big_dense),avgTail(big_dense),first(simple_conv2d),avgTail(simple_conv2d),first(strided_conv2d),avgTail(strided_conv2d),first(dilated_conv2d),avgTail(dilated_conv2d),first(small_conv2d),avgTail(small_conv2d),first(big_conv2d),avgTail(big_conv2d),first(few_conv2d),avgTail(few_conv2d),first(many_conv2d),avgTail(many_conv2d)
0.0013479179997375468,5.0202673353325014e-05,0.001262615000086953,4.944708022820769e-05,0.0012589170000865124,4.912549570103966e-05,0.0012500009997893358,4.92866618913827e-05,0.0013478119999490445,4.8743773638169054e-05,0.013497533000190742,0.00011758812034351394,0.0019179639998583298,6.307074498567152e-05,0.004011206000086531,0.00033509086246376785,0.001522510999620863,0.00011116395415406116,0.002171230999920226,0.00031534151002882453,0.0017871009999907983,0.00029838810888267313,0.0023035520002849807,0.00045166572779395566,0.0016567850002502382,0.0001967215644710455,0.03628813000023001,0.012515405174785244
0.0013384070002757653,4.8805561604459116e-05,0.001268495000203984,4.884761604660364e-05,0.001267346000076941,4.983386246421076e-05,0.0012660339998546988,4.893230085994308e-05,0.0012877449998995871,4.8987931231775886e-05,0.0013156750001144246,5.899841260720534e-05,0.0013685230001101445,6.291112320984517e-05,0.0023250389999702747,0.00032470552722064437,0.0015551910000795033,0.00011091365329509914,0.0022254729997257527,0.0003127492206299016,0.0017362810003760387,0.00028949650143275717,0.0021611090000988042,0.00044929071060208957,0.001675306999914028,0.00019744060458453224,0.036691765999876225,0.012500313378223448
0.0012691900001300382,4.8821255013718264e-05,0.0012648609999814653,4.9689134670042714e-05,0.0012951529997735634,4.91885128937212e-05,0.0012892649997411354,4.919843266513237e-05,0.0012819020003007608,4.9020011461824235e-05,0.0013114520002091012,5.9077395415177066e-05,0.0013287169999784965,6.308207449862746e-05,0.0023087680001481203,0.0003243640028651816,0.0015124320002541936,0.00011210293982743455,0.002237688999684906,0.00032167286532907473,0.0017243699999198725,0.0002913925071629754,0.0022271940001701296,0.0004543590716339089,0.0016188459999284532,0.00019632742693378804,0.03626585399979376,0.012502604234956942
0.0012727969997285982,4.912773638847659e-05,0.0012942750004185655,4.889693409782182e-05,0.0013842270000168355,5.017203438441575e-05,0.0012723729996650945,4.9461381089020346e-05,0.0012805910000679432,4.931268194844997e-05,0.0013144160002411809,5.8953538681971286e-05,0.0013978989995848679,6.315933810883064e-05,0.002253353000014613,0.0003156110229222637,0.0015224680000756052,0.00011084841260677594,0.0022310440003820986,0.00031094472206341195,0.001740690000133327,0.0002946362378223573,0.0021993270001985366,0.00045163101719186867,0.0016272200000457815,0.00019670932951311492,0.03630176000024221,0.012457612785100273
0.0012837009999202564,4.920533237729724e-05,0.0012584559999595513,4.837061318055065e-05,0.0012626400002773153,4.965027507169936e-05,0.0012831499998355866,4.9225782235366505e-05,0.0013438870000754832,4.8826295129756256e-05,0.0013833560001330625,5.9166037249725774e-05,0.0013304670001161867,6.23293581664929e-05,0.0023259039999175,0.00032572634956997256,0.0015112849996512523,0.00011073339828075102,0.002183976000196708,0.00031766185386921823,0.0016652669996801706,0.0002983957363899586,0.0022486069997285085,0.00045507267048686215,0.001666440999997576,0.00019619302005813267,0.036337924000235944,0.012544571154728503
0.0012776809999195393,4.895622349583696e-05,0.0012725159999718016,4.869704584480054e-05,0.0012640530003409367,4.910232664665625e-05,0.0012647139997170598,4.902007736500908e-05,0.0012888219998785644,4.9631005729934986e-05,0.0013928339999438322,5.892644412597292e-05,0.0013450090000333148,6.266260171863212e-05,0.0022483050001937954,0.00032204175358126766,0.001553840999804379,0.00011268796275117062,0.0022331760001179646,0.00030636113466989156,0.0017241919999833044,0.0002892554183377787,0.002247308999812958,0.00044809852435568075,0.0016121220000968606,0.00019561079083109625,0.03628412700027184,0.012521250189111589
0.0013133939996805566,4.8998206302895205e-05,0.00130516399985936,4.902622922626191e-05,0.0013023229998907482,4.941357879672074e-05,0.0012739570001940592,4.8922369627335064e-05,0.0012854999999944994,4.890278223475228e-05,0.0013132760000189592,5.890978223515648e-05,0.0013364550000005693,6.326462750769973e-05,0.002257912999994005,0.00032265908882559113,0.0015266790001078334,0.00011190641833747009,0.0022913490001883474,0.000301947160458695,0.001731723999910173,0.0002980789885386756,0.0021886170002289873,0.0004505387077367875,0.0016399599999203929,0.000195951214899935,0.03634490600006757,0.012479515386818655
0.0012808159999622148,4.888225788020654e-05,0.001263565000044764,4.8966292264110095e-05,0.0012742160001835146,4.9351936963296435e-05,0.0012621040000340145,4.9256031518371074e-05,0.0012884420002592378,4.9441037249627885e-05,0.0013494599998011836,5.918676504312149e-05,0.0013450030000967672,6.363624928400588e-05,0.002278193000165629,0.0003165538166186814,0.0015218180001284054,0.00011131699999913949,0.002242147999822919,0.000316810851002454,0.0017078860000765417,0.00029122731232024586,0.0022382299998753297,0.0004511101174793396,0.0016110810001919162,0.00019642745558727688,0.03635938199977318,0.012527846315186872
0.0012888280002698593,4.923180229155262e-05,0.0012620170000445796,4.930229799335464e-05,0.001271668999834219,4.975434097477539e-05,0.0013094330001877097,4.913168194848902e-05,0.0013230380000095465,4.8777346704742285e-05,0.0013261869999041664,5.890046418439761e-05,0.0013139540001247951,6.28960286533331e-05,0.0022877790001984977,0.0003173605472782578,0.0014590390001103515,0.00011199675644739365,0.002242649999971036,0.00032320480229249275,0.0017211370000040915,0.0002925095329509529,0.0022386589998859563,0.0004513987478497759,0.0016069449998212804,0.00019631591977097802,0.03638151099994502,0.012473931590257234
0.001278905000162922,4.860366475714599e-05,0.001267089999601012,4.827800573019805e-05,0.0012654810002459271,4.8968624642424776e-05,0.0012533570002233319,4.8724650430573445e-05,0.0012913999999000225,4.8523309456519244e-05,0.0013447500000438595,5.8547553007388695e-05,0.0013366030002543994,6.22463123199381e-05,0.0022506160003104014,0.0003176847850998581,0.0015172600001278624,0.00011070002292242934,0.0021766830000160553,0.00030498909169093694,0.0017158099999505794,0.00028867088538672264,0.002149092000308883,0.0004497754641832941,0.001615813000171329,0.0001955133896843468,0.036440266000226984,0.012512924945558892
