newData(relu_act),noData(relu_act),newData(leaky_relu_act),noData(leaky_relu_act),newData(tanh_act),noData(tanh_act),newData(sigmoid_act),noData(sigmoid_act),newData(scalar_mult),noData(scalar_mult),newData(small_dense),noData(small_dense),newData(big_dense),noData(big_dense),newData(simple_conv2d),noData(simple_conv2d),newData(strided_conv2d),noData(strided_conv2d),newData(dilated_conv2d),noData(dilated_conv2d),newData(small_conv2d),noData(small_conv2d),newData(big_conv2d),noData(big_conv2d),newData(few_conv2d),noData(few_conv2d),newData(many_conv2d),noData(many_conv2d)
0.0031560050001644413,0.002012601999922481,0.0016910449994611554,0.0014841909996903269,0.00186222699994687,0.0014945680004530004,0.0017046709999704035,0.0017725489997246768,0.0017375489996993565,0.0019880790005117888,0.0033262570004808367,0.0014195839994499693,0.0018831320003300789,0.0014099960008024937,0.007438409999849682,0.0077392349994624965,0.0031620680001651635,0.003151691999846662,0.008667210000567138,0.008528490000571765,0.006101760999627004,0.006421465000130411,0.0066779089993360685,0.007545454999672074,0.004079934000401408,0.004795286000444321,0.12639359199965838,0.10861414300052274
0.0022240879998207674,0.0019558960002541426,0.0014247489998524543,0.0014602829996874789,0.005975791000309982,0.001426716999958444,0.0014722719997735112,0.0016917190005187877,0.0017022150004777359,0.0020859989999735262,0.0014753149998796289,0.0014190719994076062,0.0016064000001279055,0.0014426440002353047,0.00602552799955447,0.008027352999306459,0.002486271000634588,0.0031855679999353015,0.008740519999264507,0.007961161999446631,0.005252822999864293,0.00642921100006788,0.005974620000415598,0.007480671999473998,0.0035851439997713896,0.004541890999462339,0.12337976099934167,0.08103473899973324
0.0023817709998184,0.002020863999860012,0.001416600000084145,0.0014435800003411714,0.0018105420003848849,0.001538380999591027,0.0014342619997478323,0.001687496000158717,0.0018769839998640236,0.0017445449993829243,0.0014601340008084662,0.0014282049996836577,0.001626648999263125,0.001462118999370432,0.005891969000003883,0.007956067000122857,0.002358154999456019,0.003489669999908074,0.008791709000433912,0.008496764000483381,0.0049946079998335335,0.006031093000274268,0.006766413999685028,0.006829477999417577,0.003651457999694685,0.004596432999278477,0.10572845399929065,0.10954387299989321
0.0024631679998492473,0.002059241000097245,0.0014380289994733175,0.001468421000026865,0.0015020559994809446,0.0013590680000561406,0.0015414030003739754,0.0018310830000700662,0.0017975060000026133,0.0027064900004916126,0.001485621999563591,0.0014429019993258407,0.0015274050001607975,0.0014046389997020015,0.006002529999932449,0.007663440999749582,0.002417181999589957,0.0031381390008391463,0.009010552000290772,0.008458475000225008,0.004962654000337352,0.006696448999718996,0.00802276099966548,0.007303544000023976,0.0037679999995816615,0.004239250999489741,0.10820444899945869,0.11000485400018079
0.002366239000366477,0.002013583000007202,0.0014524130001518643,0.0014203419996192679,0.00151209499927063,0.0014688609999211621,0.0015366990000984515,0.0017467890002080821,0.001887856999928772,0.0023299839995161165,0.0014573099997505778,0.001404063000336464,0.0015250970000124653,0.001451844999792229,0.006163464000565,0.007353426999543444,0.0023777309997967677,0.0031679020003139158,0.008761403999415052,0.008456728000055591,0.005171005000192963,0.006718818999615905,0.00816877699980978,0.007954086000609095,0.004202721999718051,0.005275878000247758,0.10983476700039319,0.10635583600014797
0.001971141000467469,0.002189849000387767,0.0014090270005908678,0.0014419569997699,0.0016486029999214225,0.0014575449995390954,0.0016592680003668647,0.0017090749997805688,0.001995984999666689,0.0027846579996548826,0.001432445000318694,0.0014288309994299198,0.0015104510002856841,0.0014253839999582851,0.005907896999815421,0.007518811999943864,0.00235547400006908,0.0032948950001809862,0.008654776999719616,0.008226455000112765,0.005963629999314435,0.006521626999528962,0.007969563000187918,0.00726360999942699,0.005222003000199038,0.004367874000308802,0.11081723900042562,0.11174620299971139
0.002321388000382285,0.0022174690002429998,0.0014373370004250319,0.00138832300035574,0.0014255989999583107,0.001465722000830283,0.0019215199999962351,0.001686946000518219,0.0018044159996861708,0.0017338739999104291,0.0014820199994574068,0.0014345639992825454,0.0015124770006877952,0.0014334670004245709,0.006438182000238157,0.007333163999646786,0.002569188000052236,0.0033154860002468922,0.008748846999878879,0.008551380999961111,0.0070408540004791575,0.006418279999707011,0.007963343000483292,0.007284872000127507,0.005127485999764758,0.005210671999520855,0.11080370499985293,0.10974369499945169
0.002100556999721448,0.0020049720005772542,0.0014274129998739227,0.0014070389997868915,0.0014531609995174222,0.0015246100001604646,0.0021446549999382114,0.0018599330005599768,0.0018935889993372257,0.0014797880003243336,0.0017096049996325746,0.0014497750007649302,0.0015298199996323092,0.0014755719994354877,0.007438691999595903,0.007590913000058208,0.002527139000449097,0.0028774940001312643,0.008577989000514208,0.008377410999855783,0.007204485999864119,0.006394254999577242,0.007974660999934713,0.007368545000645099,0.00527136800064909,0.004146337000747735,0.10884233999968274,0.11048864199983655
0.0023192870003185817,0.0019563519999792334,0.0015517309993811068,0.0013858399997843662,0.0014554899998984183,0.0014009930000611348,0.0018252619993290864,0.0020844139999098843,0.0017629490002946113,0.001484159999563417,0.0016928029999689898,0.0014432269999815617,0.001519139000265568,0.0015091749992279802,0.008274752000033914,0.007512596999731613,0.002524981000533444,0.0038188819999049883,0.00882936099969811,0.008116831000734237,0.00734459799969045,0.0066775170007531415,0.008127633000185597,0.007543765999798779,0.005382156000450777,0.004484510999645863,0.08220311700006278,0.11097758400046587
0.0023465730000680196,0.0020013220000691945,0.0014792359997954918,0.001391763999890827,0.0014424179998968611,0.0014493560001938022,0.0018163980003009783,0.0021000199994887225,0.0022082900004534167,0.001463886000237835,0.002018027999838523,0.0014599699998143478,0.0015229079999699024,0.0014636909991168068,0.008910083000046143,0.007384077000097022,0.0024203960001614178,0.0033595410004636506,0.008788227999502851,0.008352794000529684,0.007135208000363491,0.006720905000292987,0.007598629999847617,0.007587762000184739,0.005368249999264663,0.004688444999374042,0.11105974299971422,0.10968838400003733
