relu_act,leaky_relu_act,tanh_act,sigmoid_act,scalar_mult,small_dense,big_dense,simple_conv2d,strided_conv2d,dilated_conv2d,small_conv2d,big_conv2d,few_conv2d,many_conv2d
2.501027999512319e-05,2.620118857261592e-05,2.740866285811145e-05,2.7536122854923763e-05,2.6441988572644602e-05,2.9277717143746227e-05,5.484188571114958e-05,0.0002681975657157766,0.0001531835028539977,0.0001699726342849317,0.0002747557799999153,0.0003631135200027659,0.0002039744485695597,0.005639750257141713
2.7712317143076298e-05,2.8479625710003477e-05,2.860076285287505e-05,2.771191143048262e-05,2.7326665710591313e-05,4.6276457142084836e-05,4.74907285700153e-05,0.00026508054857133956,0.00015409312000494018,0.0001951776057155387,0.0002489159257103373,0.00034866256285438015,0.00021980717142599003,0.0055996883542840286
3.010429714257563e-05,2.861693428712897e-05,3.0468754287409995e-05,3.606445143045026e-05,2.8340631428623705e-05,4.8623400003374884e-05,7.056126285793392e-05,0.00045446870857371584,0.00016024174857323358,0.00023943330857166854,0.0003381542171441002,0.0006301697714297916,0.00019878447428449623,0.005994718125714696
2.6918788571492768e-05,2.759028000062764e-05,2.7469934284454212e-05,2.821957714331802e-05,2.6210022853255006e-05,4.683100285806826e-05,4.741143714324737e-05,0.00026907303428743036,0.00017447997428722114,0.00021426025142968032,0.00046206776285544036,0.00037357837428446926,0.00021723745714033221,0.006089967651428846
2.8240428572254522e-05,2.8232054282852915e-05,2.8450937144433348e-05,2.8436022855333118e-05,2.8020665714783327e-05,4.552410571445112e-05,4.4385354283024626e-05,0.0002852777999994162,0.00013479603428485072,0.00016862792857344695,0.00028120528286048544,0.0003990020571447011,0.0002061774000009921,0.005948918565715887
2.693234857101093e-05,2.6987962857154865e-05,2.8123825712620082e-05,2.732823428751934e-05,2.6887211429961357e-05,4.551357142710393e-05,4.7559679998292785e-05,0.0002610191514291468,0.00017927717142551307,0.0001942432628597349,0.0002935410399991919,0.0003328737485675707,0.00021347937428799923,0.0057363817371411385
2.781055999678626e-05,2.9124959998755784e-05,2.8335259999689048e-05,2.7631762859527952e-05,2.714916571026801e-05,4.927170571006302e-05,4.5821414283376986e-05,0.0002583106914296098,0.00017442919999926485,0.0001698658399982378,0.00029391950285831365,0.000399039325711783,0.00018933100571822642,0.006180208891429564
2.651412856981291e-05,2.784903714720193e-05,2.7527088568604086e-05,2.7674171428121294e-05,2.7328288571360255e-05,4.6302239996813504e-05,5.251100571123451e-05,0.00025984018285920944,0.0001615542600016592,0.00016970007999978927,0.00024523774571467326,0.00036532127428862235,0.0001853102828577643,0.007025601154283712
2.904434571454268e-05,2.8038851430340272e-05,2.9571165718412624e-05,2.841956285660022e-05,2.8517511429007364e-05,4.752549713884946e-05,5.708588000353692e-05,0.0002729809228549129,0.00014588965143047972,0.00019607305428507972,0.0002768464228574885,0.00043357618857304,0.0002272560285720309,0.005827527360000074
2.8239591431754108e-05,2.847229999523344e-05,2.875649714301939e-05,2.827460285646209e-05,2.755148857561705e-05,4.5774094287480695e-05,4.8591788571294665e-05,0.0002546032400018053,0.00016330285428661488,0.00017059478857325822,0.00025045933142661984,0.00035112362285872223,0.00018825117143153746,0.005771999031432122
2.823036857340152e-05,2.837484856822162e-05,2.901890571333102e-05,2.842763428426614e-05,2.7315831425117463e-05,4.662285428951561e-05,4.3652899995712296e-05,0.0002588376285712002,0.0001680466514309436,0.00019378542571627934,0.00025589183999857467,0.00035987372857302296,0.00018941056856939604,0.0057947165771422855
2.7524579995120544e-05,2.8840211426930703e-05,2.8544540000439156e-05,2.716847428278665e-05,2.7351505710352544e-05,5.7691005713422784e-05,4.6600962855986186e-05,0.0002599623428562024,0.00016069473714326574,0.00019851366286145224,0.00025690558000081054,0.0003701297714256465,0.00021411166285231176,0.005839101208574513
2.6755999996177187e-05,2.8125140000026606e-05,2.865956857151884e-05,2.7023862858186477e-05,2.657769999911709e-05,5.041984000334716e-05,5.372922285459936e-05,0.00026263552000143264,0.00016229686857384098,0.00017798556856827677,0.0002771330314291325,0.0003771723057122602,0.00021301216285792178,0.00596342302285588
2.8301919997569973e-05,2.7756565712999354e-05,2.842296857124893e-05,2.8447797142559596e-05,2.6976751427615193e-05,5.521100285737443e-05,4.699617428351693e-05,0.0002682198342881748,0.00015584598571357283,0.00017204951428928845,0.0002556478971382603,0.00036943993142943195,0.000213147857144317,0.0059122044914277335
2.713083714167754e-05,2.829445999980505e-05,2.8234720001429586e-05,2.746990285751443e-05,2.7458802859265622e-05,4.778023428765924e-05,4.63280085698768e-05,0.00026796445142411227,0.0001670072914306989,0.00017137546285604392,0.0002550851600036757,0.00037755356571454155,0.00020434500285773538,0.005920896371431549
2.7622868573026996e-05,2.8870717142126522e-05,2.8535988572652318e-05,2.7196702857119296e-05,2.7723902858269865e-05,5.683190285968262e-05,4.714101142911074e-05,0.00025419260285291655,0.0001518194857115824,0.00016777459713921417,0.0002442798542896136,0.00036628227428341884,0.0002059496057128334,0.005922213880003255
2.8855808575047247e-05,2.7186234282063588e-05,2.7850222858043186e-05,2.7404574284446424e-05,2.7179851427458094e-05,4.5034931432123165e-05,4.476441428518488e-05,0.0002598245371440758,0.00017772599714330033,0.0001708298342834626,0.0002706435085721231,0.00036533685428626734,0.00022035165428470853,0.005985005382857967
2.774270857376645e-05,2.753136857271394e-05,2.837504285707837e-05,2.9752205711182408e-05,2.7369302858590215e-05,4.569699142718621e-05,4.839815713889298e-05,0.000283440400001252,0.0001752365200029869,0.00019331910285732843,0.0002722864971448351,0.0003791578685715129,0.0002883759571445158,0.005836945200000108
2.6614382856808203e-05,2.7602105713283113e-05,2.754438571303451e-05,2.830062857226169e-05,2.677085713782747e-05,5.374355428232645e-05,3.6800637140653896e-05,0.0002468669371384229,0.00013649205428269593,0.0001707671628537355,0.0002658861971420785,0.00035716411428958445,0.00020309580571587762,0.005582806922856045
2.665847999846197e-05,2.812342285324121e-05,2.7827039999205486e-05,2.6890988571852046e-05,2.6228694285756708e-05,5.2146171432728546e-05,4.993089143161862e-05,0.0002576424371415799,0.00013490523428377594,0.00016944810856719933,0.00025988548285697886,0.000342740462853856,0.00020522320000184534,0.005605215499999758
2.6724022853678822e-05,2.7728365712391678e-05,2.6966611429608227e-05,2.7809699999384714e-05,2.650131714679966e-05,4.606983428467564e-05,4.8304971429128534e-05,0.00024458361143063354,0.00016737908571355677,0.00017742891142656194,0.0002503750714302961,0.0003519699514280156,0.00020641928857263077,0.005587983979998431
2.6680305714502797e-05,2.8083280002257588e-05,2.8996965712784525e-05,2.6814197143331903e-05,2.697228856829627e-05,4.817400000320049e-05,4.698784000148797e-05,0.00024671912571648134,0.00016581167714321054,0.00019561728285875037,0.0002534521571422894,0.00035071449999772347,0.00020175251143103067,0.0055798519771425555
2.6815440001623105e-05,2.8044605714967473e-05,2.861824571092646e-05,2.7016891430581122e-05,2.6983514289895537e-05,4.845972856855951e-05,4.693103714089375e-05,0.0002996432314310888,0.00015950475428586026,0.00016951151713978367,0.00027460141999784225,0.00035426927714330043,0.00021030773428459986,0.00558755088856872
2.7111591428235574e-05,2.7954891432143217e-05,2.8579420000564172e-05,2.693272856829156e-05,2.646282000309189e-05,4.8568814288176194e-05,4.404147428431315e-05,0.00027917202285607343,0.00013745830285707988,0.00019224175714043667,0.0002717170371449486,0.00035331814857012694,0.00020546287714491232,0.005588478708570099
2.6673874287683117e-05,2.7919305710903635e-05,2.909164857036168e-05,2.825717428225159e-05,2.6573659997666255e-05,4.658564857111612e-05,6.516065142932348e-05,0.00026086273428518327,0.00016937309428612934,0.00019429519142639558,0.0002499466542836412,0.0003539616200006484,0.00020556135142604554,0.005599381817145124
2.6897428573907486e-05,2.733396285683349e-05,2.8170417140894902e-05,2.7884582855871744e-05,2.683409428365329e-05,5.151632285560481e-05,4.6594722859611335e-05,0.0002465363371395922,0.000165636414286772,0.0001695411028569132,0.00024998762000385405,0.0003581829999997613,0.00019394828000388642,0.005591400154288359
2.6626222856326162e-05,2.847144857306765e-05,2.7884102855750826e-05,2.785705428582982e-05,2.6510277145592095e-05,4.5571131429044596e-05,5.020691713850413e-05,0.00024602653999733905,0.00015517057428431663,0.000169863951429891,0.0002516138771378402,0.0003548669742875583,0.0002097424628560215,0.005584638857139257
2.6921239997526364e-05,2.8196191430782036e-05,2.8759208570201217e-05,2.7193468574426204e-05,2.7128917141193857e-05,4.538000285849973e-05,5.556403142691124e-05,0.00025166244856726346,0.00015636498571049222,0.00016990059714381848,0.00025048215999829283,0.00035142813999950053,0.00020811882571641555,0.005598002411430311
2.680215428491855e-05,2.766113428931151e-05,2.7316048570875343e-05,2.6828725718327664e-05,2.640782000006376e-05,4.5483860002215287e-05,5.59318571426307e-05,0.0002507582600030998,0.0001525243085727977,0.00017027502857152804,0.0002547851828577612,0.0003529458199981101,0.0002032124485724905,0.0055898313428562165
2.6539599997964355e-05,2.7440557143043928e-05,2.8564254285551474e-05,2.7193691431810812e-05,2.6414702853279387e-05,4.583170285643843e-05,5.7857451429299546e-05,0.00024640064285319697,0.00015715200571451402,0.00019553460857423487,0.00025476743142852293,0.0003553368399973676,0.00020247567714250182,0.0055932615571405876
2.7060108571147015e-05,2.815648857254668e-05,2.9346422852540855e-05,2.763524571491871e-05,2.6294754284858104e-05,6.001720000183143e-05,4.605196285410784e-05,0.00024699773428437765,0.00014657417143358283,0.00016956532285673478,0.0002691782800008826,0.0003484050571413328,0.00020241033714618034,0.005595111742856846
2.7168188571522477e-05,2.7972602854008852e-05,2.799139999946679e-05,2.7413605712354182e-05,2.6477931429066563e-05,4.727869714510494e-05,4.845862857369606e-05,0.0002445408657149528,0.00015745727142660014,0.00019551707714396928,0.000267832185714464,0.00033402770856940024,0.00017585685428327582,0.00559526456857254
