first,avgTail
0.09067399300010948,0.08866659236507494
0.08859634299960817,0.08849198452381166
0.08859865000022182,0.08857091480952058
0.08854592100033187,0.08848633536507848
0.08860440000034941,0.08851415434920844
0.088568043000123,0.08849812153968221
0.08859835899966129,0.08851684752381328
0.08852061199968375,0.08863019031746046
0.08857072000000699,0.08850931234920131
0.08856743400019695,0.08856413185714469
0.08858962000022075,0.08849714960317417
0.0886027709998416,0.08851537995238572
0.08859162399994602,0.0884912157142834
0.08857446299998628,0.08848038517460678
0.08858770799997728,0.08865244306349586
0.08857446599995455,0.0884963996666643
0.08855487700020603,0.08854234668253758
0.08861392800008616,0.08850454392063872
0.0886253180001404,0.08850391669841609
0.08861473800016029,0.0884830961428547
0.0886161810003614,0.08850906055554983
0.08856539999987945,0.08859094236508071
0.08859252299998843,0.08852208249206905
0.08854751299986674,0.08851250255555795
0.08858282200026224,0.08850588339682583
0.08856677999983731,0.08848800025397294
0.08861662399976922,0.08849649260317828
0.08857004199990115,0.08851490112697825
0.0885954089999359,0.09023072868253693
0.08859014600011506,0.08850300780951718
0.08861301099977936,0.08851670947618885
0.08860974000026545,0.08851930793650628
